fecha,la_rioja_region,pob_NBI_TOT,pob_NBI_HAC,pob_NBI_VIV,pob_NBI_SAN,pob_NBI_ESC,pob_NBI_SUB,pob_base,pct_pob_NBI_TOT,pct_pob_NBI_HAC,pct_pob_NBI_VIV,pct_pob_NBI_SAN,pct_pob_NBI_ESC,pct_pob_NBI_SUB
2018-Q4,3. La Rioja,11333,9096,147,1750,942,2143,210314,5.3886094125926,4.324961723898552,0.06989548960126288,0.8320891619197961,0.4479017088733988,1.0189526137109275
2019-Q1,1. Resto país,1590841,1166382,84778,31865,150060,213625,25566322,6.222408526341802,4.562181451051113,0.33160029823609355,0.12463662156801435,0.586944027381021,0.8355718902390418
2019-Q1,2. NOA-Resto,207206,154674,8710,12617,14794,30093,2477341,8.364048388978345,6.243549030997348,0.35158664067643497,0.509296055730721,0.5971725329698253,1.2147298252440824
2019-Q1,3. La Rioja,9173,6373,142,156,684,3210,216968,4.227812396298072,2.937299509605103,0.06544743925371484,0.07190000368717968,0.3152538623207109,1.4794808451015817
2019-Q2,1. Resto país,1604283,1144298,91868,44466,119020,239494,25628706,6.259711278439106,4.464907436216249,0.35845742660593166,0.17350076121673874,0.4644011289528235,0.93447558374582
2019-Q2,2. NOA-Resto,238640,178902,15195,17057,5190,28789,2483502,9.609011790608585,7.203618116675566,0.6118376389469387,0.6868124124723878,0.20897909484268584,1.1592098576928869
2019-Q2,3. La Rioja,10020,8772,0,144,0,1748,217984,4.596667645331768,4.024148561362302,0,0.06605989430416911,0,0.80189371697005285
2019-Q3,1. Resto país,1729274,1263314,76057,68757,81458,312603,25280566,6.840329445155619,4.997174509463119,0.30085165023599547,0.2719757144677853,0.32221588709683163,1.2365348149246342
2019-Q3,2. NOA-Resto,211762,153806,17137,20882,6191,17958,2489574,8.505953227339296,6.178004751013627,0.6883506977498961,0.8387780399377565,0.24867708290655352,0.721328227238877
2019-Q3,3. La Rioja,6996,6996,0,0,0,0,218988,3.194695599758891,3.194695599758891,0,0,0,0
2019-Q4,1. Resto país,1588798,1272973,35996,34075,92182,230018,25753971,6.169137955463257,4.942822215649773,0.1397687370231177,0.13230969313431315,0.35793315135751297,0.893136052688729
2019-Q4,2. NOA-Resto,215216,171624,5940,19548,8273,20137,2494933,8.626123426961767,6.8789021588956505,0.2380825457036321,0.7835080140428621,0.3315920708091159,0.807115862429973
2019-Q4,3. La Rioja,8419,6915,0,0,444,1060,219814,3.830056320343563,3.145841484163884,0,0,0.20198895429772443,0.4822258818819547
2020-Q1,1. Resto país,1519080,1179224,63136,30476,71410,225027,25815742,5.88431663130194,4.567848563097663,0.24456395636429898,0.11805200098451557,0.27661416820790974,0.8716658231245107
2020-Q1,2. NOA-Resto,211422,167935,4824,13409,4150,25948,2500855,8.453988735852338,6.715103434625358,0.19289403024165735,0.536176627593363,0.16594324740938599,1.0375651527177705
2020-Q1,3. La Rioja,14062,12404,420,0,0,1238,220733,6.370592525811728,5.61945880316944,0.19027512877548894,0,0,0.5608585938667984
2020-Q2,1. Resto país,1650070,1198916,49357,56126,231990,193306,25876437,6.376727986159763,4.633234475055434,0.19074109777941994,0.2169000314842418,0.8965299202513854,0.74703484100226
2020-Q2,2. NOA-Resto,200948,152108,14215,8225,6450,27337,2506680,8.01649991223451,6.068106020712656,0.5670847495492045,0.32812325466353903,0.2573124611039303,1.090566007627619
2020-Q2,3. La Rioja,9964,7795,175,0,3150,580,221660,4.4951727871514935,3.5166471172065323,0.078949742849409,0,1.4210953712893621,0.261662004872327
2020-Q3,1. Resto país,1290953,909526,35293,26029,168671,205658,25771546,5.00921830611171,3.5291868015989416,0.13694560660039565,0.10099898547025468,0.6544853770123065,0.798004124393624
2020-Q3,2. NOA-Resto,217172,154921,11702,3361,23223,30857,2512256,8.644501197330207,6.166608816935853,0.46579647933968515,0.13378413664849442,0.9243882789015133,1.228258585112345
2020-Q3,3. La Rioja,7178,7012,0,0,1344,166,222686,3.223372820922734,3.1488283951393443,0,0,0.6035404111619052,0.07454442578339007
2020-Q4,1. Resto país,1805376,1547905,52244,32880,58327,152052,25998271,6.944215636493673,5.9538767020314545,0.20095182483481303,0.1264699487131279,0.2243495346286682,0.5848542774248334
2020-Q4,2. NOA-Resto,215572,172287,5584,1034,17424,27819,2517904,8.561565492568421,6.842476917309,0.22177175936810936,0.04106590243313486,0.6920041431285704,1.10484752397232
2020-Q4,3. La Rioja,10893,8741,0,0,0,2152,223489,4.8740653902429205,3.9111544639780926,0,0,0,0.9629109262648273
2021-Q1,1. Resto país,1536653,1168970,51364,34173,132790,181569,26059100,5.896799966230606,4.485841798066702,0.1971058094868971,0.13113653196004466,0.5095724718044753,0.6967585219750491
2021-Q1,2. NOA-Resto,211138,161613,7510,2469,13378,29052,2523775,8.365959723033948,6.403621558974155,0.29757010827034897,0.09782964012243563,0.5300789491931729,1.1511327277590118
2021-Q1,3. La Rioja,11185,10215,0,0,0,970,224486,4.982493340341937,4.55039512486302,0,0,0,0.43209821547891625
2021-Q2,1. Resto país,1368901,914198,43221,32923,200007,188182,26117974,5.241222002901144,3.5002638412918246,0.1654837392823808,0.12605495357335142,0.7657829814824075,0.7205076473389552
2021-Q2,2. NOA-Resto,192266,146215,7078,2135,12458,29247,2529111,7.602117898344517,5.781280457836766,0.2798611844240921,0.08441701451616793,0.49258415308778464,1.156414249908367
2021-Q2,3. La Rioja,9132,9132,0,0,0,0,225354,4.052291062062356,4.052291062062356,0,0,0,0
2021-Q3,1. Resto país,1563669,1184581,73434,16993,208148,113479,26178493,5.973105480135927,4.5250160121898535,0.2805127094214323,0.06491206350189829,0.7951107040424366,0.4334817898035612
