jurisdiccion,fecha,salario_promedio
San Luis,2021-10-01,97796.43181813022
Santa Cruz,2021-10-01,183273.76377969357
Santa Fe,2021-10-01,97645.2095238974
Santiago del Estero,2021-10-01,66967.00795349412
Tierra del Fuego,2021-10-01,144072.40956358478
Tucumán,2021-10-01,73062.76083972673
Buenos Aires,2021-11-01,105976.191337898
C.A.B.A.,2021-11-01,130460.8365963684
Catamarca,2021-11-01,80433.86460875136
Chaco,2021-11-01,78602.30320823408
Chubut,2021-11-01,160254.52062983584
Corrientes,2021-11-01,79408.21543010802
Córdoba,2021-11-01,92226.87991436636
Entre Ríos,2021-11-01,85460.76965851398
Formosa,2021-11-01,85326.95118339287
Jujuy,2021-11-01,85304.16392679761
La Pampa,2021-11-01,92915.94478247146
La Rioja,2021-11-01,82178.88916751654
Mendoza,2021-11-01,84538.13266049253
Misiones,2021-11-01,75331.60194880767
Neuquén,2021-11-01,154930.941975925
Río Negro,2021-11-01,100801.5178747503
Salta,2021-11-01,82888.9396825952
San Juan,2021-11-01,88718.95856333028
San Luis,2021-11-01,99876.72821007833
Santa Cruz,2021-11-01,177227.36774258915
Santa Fe,2021-11-01,100349.88619525259
Santiago del Estero,2021-11-01,70393.93322302513
Tierra del Fuego,2021-11-01,143162.5943595465
Tucumán,2021-11-01,78300.38095854645
Buenos Aires,2021-12-01,156880.39567905522
C.A.B.A.,2021-12-01,189954.0883578636
Catamarca,2021-12-01,121482.70208346205
Chaco,2021-12-01,114152.3711501357
Chubut,2021-12-01,249453.59722168188
Corrientes,2021-12-01,116569.07367842273
Córdoba,2021-12-01,136417.7838362588
Entre Ríos,2021-12-01,128802.43481645314
Formosa,2021-12-01,121767.38893397841
Jujuy,2021-12-01,123779.43907352908
La Pampa,2021-12-01,137963.3144154365
La Rioja,2021-12-01,123625.54103445698
Mendoza,2021-12-01,121343.6638020268
Misiones,2021-12-01,110005.5149094386
Neuquén,2021-12-01,234346.08414888597
Río Negro,2021-12-01,146692.06788354265
Salta,2021-12-01,120913.77920693265
San Juan,2021-12-01,132517.32242780805
