jurisdiccion,subrubro,tipo_fila,fecha,anio,exportaciones_millones_usd,provisorio,la_rioja_region
Misiones,Resto de productos,subrubro,1994-01-01,1994,8.703,FALSE,1. Resto país
Misiones,Tabaco sin elaborar,subrubro,1994-01-01,1994,27.729,FALSE,1. Resto país
Misiones,Total,total,1994-01-01,1994,155.59,FALSE,1. Resto país
Neuquén,Carburantes,subrubro,1994-01-01,1994,13.66,FALSE,1. Resto país
Neuquén,Frutas frescas,subrubro,1994-01-01,1994,23.794,FALSE,1. Resto país
Neuquén,"Manufacturas de piedra, yeso, etc, productos cerámicos, vidrio y sus manufacturas.",subrubro,1994-01-01,1994,7.37,FALSE,1. Resto país
Neuquén,Petróleo crudo,subrubro,1994-01-01,1994,465.987,FALSE,1. Resto país
Neuquén,"Preparados de hortalizas, legumbres y frutas",subrubro,1994-01-01,1994,17.306,FALSE,1. Resto país
Neuquén,Resto de productos,subrubro,1994-01-01,1994,10.595,FALSE,1. Resto país
Neuquén,Total,total,1994-01-01,1994,538.712,FALSE,1. Resto país
Río Negro,Frutas frescas,subrubro,1994-01-01,1994,89.077,FALSE,1. Resto país
Río Negro,Lanas sucias,subrubro,1994-01-01,1994,7.458,FALSE,1. Resto país
Río Negro,Pescados y mariscos sin elaborar,subrubro,1994-01-01,1994,18.749,FALSE,1. Resto país
Río Negro,Petróleo crudo,subrubro,1994-01-01,1994,57.404,FALSE,1. Resto país
Río Negro,"Preparados de hortalizas, legumbres y frutas",subrubro,1994-01-01,1994,34.871,FALSE,1. Resto país
Río Negro,Resto de productos,subrubro,1994-01-01,1994,25.007,FALSE,1. Resto país
Río Negro,Total,total,1994-01-01,1994,232.566,FALSE,1. Resto país
Salta,Carburantes,subrubro,1994-01-01,1994,18.088,FALSE,2. NOA-Resto
Salta,Cereales,subrubro,1994-01-01,1994,7.412,FALSE,2. NOA-Resto
Salta,Hortalizas y legumbres sin elaborar,subrubro,1994-01-01,1994,105.641,FALSE,2. NOA-Resto
Salta,Pieles y cueros,subrubro,1994-01-01,1994,5.123,FALSE,2. NOA-Resto
Salta,Resto de productos,subrubro,1994-01-01,1994,66.135,FALSE,2. NOA-Resto
Salta,Tabaco sin elaborar,subrubro,1994-01-01,1994,26.068,FALSE,2. NOA-Resto
Salta,Total,total,1994-01-01,1994,228.467,FALSE,2. NOA-Resto
